filename,type,p,A,w,b,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,,Circ_DL,Rec_DL,Com_DL,Elo_DL,,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_H,Con_LL,Sol_LL,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
38-10-b.tif,cp,468.6762,8547,88.9694,177.4891,327.7267,178,48.0506,170,94,104.3186,461.7056,10045,515.9594,159.3082,85.4276,177.6056,88.9694,177.4891,178,,1.4301,0.87945,0.54125,3.7044,,0.48897,1.8648,1.1009,0.85087,,0.69926,0.44706,0.55294,104.3186,0.98513,0.85087,,0.48897,0.53624,0.98513,0.85087,,0.34499,0.54125,0.48897,0.50127,1.9949,0.091304
Electron Image 10-09.tif,cp,1005.0408,50465,237.6329,283.1855,796.3428,273,180.5282,316,240,253.4838,934.455,54742,965.3929,300.0617,223.1462,319.739,237.6329,283.1855,320,,1.2621,0.96487,0.74992,1.5122,,0.62782,1.3447,0.96055,0.92187,,0.79235,0.24051,0.75949,253.4838,0.92977,0.92187,,0.62782,0.74367,0.92977,0.92187,,0.62851,0.74992,0.62782,0.83914,1.1917,0.29591
Electron Image 10-1.tif,cp,762.9676,25953,149.7586,266.9168,571.0823,268,96.903,266,153,181.7811,685.8549,29135,714.615,255.7368,138.6785,266.9925,149.7586,266.9168,268,,1.336,0.91554,0.64926,2.7657,,0.56025,1.8441,0.93663,0.89078,,0.7485,0.42481,0.57519,181.7811,0.89893,0.89078,,0.56025,0.54227,0.89893,0.89078,,0.46355,0.64926,0.56025,0.56107,1.7823,0.16862
Electron Image 10-11.tif,cp,622.8427,15985,118.5975,187.1298,448.1891,164,86.7872,211,124,142.663,559.1198,18296,585.4709,195.6575,110.4923,216.9332,118.5975,187.1298,218,,1.3897,1.0186,0.72027,1.8897,,0.5178,1.7708,0.94,0.87369,,0.71959,0.41232,0.58768,142.663,0.89769,0.87369,,0.5178,0.56472,0.89769,0.87369,,0.43248,0.72027,0.5178,0.63377,1.5779,0.1613
Electron Image 10-12.tif,cp,432.5168,9102,91.297,137.9427,338.1998,137,65.8705,138,94,107.6523,400.4163,9937,434.2267,135.8048,90.5551,144.3889,91.297,137.9427,140,,1.2789,0.94337,0.72274,2.0798,,0.61142,1.4997,1.004,0.91597,,0.78193,0.31884,0.68116,107.6523,0.92578,0.91597,,0.61142,0.6668,0.92578,0.91597,,0.55588,0.72274,0.61142,0.66185,1.5109,0.24564
Electron Image 10-18.tif,cp,837.6194,10769,96.0685,299.0331,367.8685,208,36.3579,296,104,117.0962,699.6367,19999,741.3189,301.3403,71.1535,299.1254,96.0685,299.0331,300,,2.277,1.06,0.37487,5.7209,,0.19288,4.2351,0.88503,0.53848,,0.43918,0.64865,0.35135,117.0962,0.83527,0.53848,,0.19288,0.23612,0.83527,0.53848,,0.15324,0.37487,0.19288,0.32126,3.1127,0.01108
Electron Image 10-5.tif,cp,530.2986,13809,101.757,183.5893,416.5681,160,75.1902,193,110,132.5978,511.5118,15100,527.6567,183.2698,100.131,196.8248,101.757,183.5893,198,,1.273,0.92922,0.73918,2.1279,,0.61707,1.8303,0.99502,0.9145,,0.78554,0.43005,0.56995,132.5978,0.96457,0.9145,,0.61707,0.54636,0.96457,0.9145,,0.45385,0.73918,0.61707,0.55426,1.8042,0.20701
Electron Image 11-05.tif,cp,862.6905,21821,180.0351,215.0846,523.6514,194,113.0046,230,177,166.6834,707.6783,28806,768.623,235.9955,153.347,246.5703,180.0351,215.0846,241,,1.6475,1.0917,0.56352,1.7167,,0.36845,1.539,0.89096,0.75752,,0.607,0.23043,0.76957,166.6834,0.82032,0.75752,,0.36845,0.64979,0.82032,0.75752,,0.45699,0.56352,0.36845,0.83704,1.1947,0.094882
Electron Image 11-15.tif,cp,1138.9159,34774,169.0693,343.571,661.0469,247,107.2899,355,183,210.4178,914.6072,43340,989.8426,346.5796,152.4297,356.2417,169.0693,343.571,357,,1.7229,1.1108,0.59865,2.3022,,0.33688,2.2737,0.86911,0.80235,,0.58042,0.48451,0.51549,210.4178,0.80305,0.80235,,0.33688,0.43981,0.80305,0.80235,,0.34888,0.59865,0.33688,0.49209,2.0321,0.070361
Electron Image 11-19.tif,cp,807.5189,26573,155.0458,271.6361,577.8634,264,97.7802,275,165,183.9396,722.9676,30424,795.2996,266.3043,146.4249,276.4974,155.0458,271.6361,277,,1.3974,0.94628,0.63095,2.6999,,0.51209,1.8187,0.98487,0.87342,,0.7156,0.4,0.6,183.9396,0.89529,0.87342,,0.51209,0.54984,0.89529,0.87342,,0.44256,0.63095,0.51209,0.57078,1.752,0.14299
Electron Image 11-29.tif,cp,619.5706,18821,141.6054,191.971,486.3246,187,97.5855,200,148,154.8019,582.86,20631,604.946,203.909,125.6911,208.5426,141.6054,191.971,209,,1.274,0.92868,0.69235,1.9163,,0.61613,1.6223,0.9764,0.91227,,0.78494,0.26,0.74,154.8019,0.94075,0.91227,,0.61613,0.61641,0.94075,0.91227,,0.55101,0.69235,0.61613,0.73764,1.3557,0.23505
